id	time	type
a8146e20-00ae-4291-b35f-ed0435380333	1492087384045	DagScheduler(CompletionEvent(ResultTask(0, 15),Success,Some(78504),ArrayBuffer(LongAccumulator(id: 0, name: Some(internal.metrics.executorDeserializeTime), value: 4), LongAccumulator(id: 1, name: Some(internal.metrics.executorDeserializeCpuTime), value: 3542432), LongAccumulator(id: 2, name: Some(internal.metrics.executorRunTime), value: 7), LongAccumulator(id: 3, name: Some(internal.metrics.executorCpuTime), value: 7320992), LongAccumulator(id: 4, name: Some(internal.metrics.resultSize), value: 1041)),org.apache.spark.scheduler.TaskInfo@7582e46c))
a8146e20-00ae-4291-b35f-ed0435380333	1492087384056	DagScheduler(BeginEvent(ResultTask(0, 17),org.apache.spark.scheduler.TaskInfo@53b0f9f7))
a8146e20-00ae-4291-b35f-ed0435380333	1492087384058	DagScheduler(CompletionEvent(ResultTask(0, 14),Success,Some(78532),ArrayBuffer(LongAccumulator(id: 0, name: Some(internal.metrics.executorDeserializeTime), value: 3), LongAccumulator(id: 1, name: Some(internal.metrics.executorDeserializeCpuTime), value: 3447936), LongAccumulator(id: 2, name: Some(internal.metrics.executorRunTime), value: 17), LongAccumulator(id: 3, name: Some(internal.metrics.executorCpuTime), value: 8144984), LongAccumulator(id: 4, name: Some(internal.metrics.resultSize), value: 1128), LongAccumulator(id: 6, name: Some(internal.metrics.resultSerializationTime), value: 1)),org.apache.spark.scheduler.TaskInfo@43b9c515))
a8146e20-00ae-4291-b35f-ed0435380333	1492087384068	DagScheduler(BeginEvent(ResultTask(0, 18),org.apache.spark.scheduler.TaskInfo@5eac0ff9))
a8146e20-00ae-4291-b35f-ed0435380333	1492087384068	DagScheduler(CompletionEvent(ResultTask(0, 16),Success,Some(78443),ArrayBuffer(LongAccumulator(id: 0, name: Some(internal.metrics.executorDeserializeTime), value: 2), LongAccumulator(id: 1, name: Some(internal.metrics.executorDeserializeCpuTime), value: 2218688), LongAccumulator(id: 2, name: Some(internal.metrics.executorRunTime), value: 7), LongAccumulator(id: 3, name: Some(internal.metrics.executorCpuTime), value: 7146397), LongAccumulator(id: 4, name: Some(internal.metrics.resultSize), value: 1128), LongAccumulator(id: 6, name: Some(internal.metrics.resultSerializationTime), value: 1)),org.apache.spark.scheduler.TaskInfo@6a7793f0))
a8146e20-00ae-4291-b35f-ed0435380333	1492087384092	DagScheduler(BeginEvent(ResultTask(0, 19),org.apache.spark.scheduler.TaskInfo@3c6f31c4))
a8146e20-00ae-4291-b35f-ed0435380333	1492087384092	DagScheduler(CompletionEvent(ResultTask(0, 18),Success,Some(78524),ArrayBuffer(LongAccumulator(id: 0, name: Some(internal.metrics.executorDeserializeTime), value: 3), LongAccumulator(id: 1, name: Some(internal.metrics.executorDeserializeCpuTime), value: 2309369), LongAccumulator(id: 2, name: Some(internal.metrics.executorRunTime), value: 16), LongAccumulator(id: 3, name: Some(internal.metrics.executorCpuTime), value: 7901899), LongAccumulator(id: 4, name: Some(internal.metrics.resultSize), value: 1041)),org.apache.spark.scheduler.TaskInfo@5eac0ff9))
a8146e20-00ae-4291-b35f-ed0435380333	1492087384097	DagScheduler(CompletionEvent(ResultTask(0, 17),Success,Some(78593),ArrayBuffer(LongAccumulator(id: 0, name: Some(internal.metrics.executorDeserializeTime), value: 4), LongAccumulator(id: 1, name: Some(internal.metrics.executorDeserializeCpuTime), value: 2659505), LongAccumulator(id: 2, name: Some(internal.metrics.executorRunTime), value: 23), LongAccumulator(id: 3, name: Some(internal.metrics.executorCpuTime), value: 7353702), LongAccumulator(id: 4, name: Some(internal.metrics.resultSize), value: 1041)),org.apache.spark.scheduler.TaskInfo@53b0f9f7))
a8146e20-00ae-4291-b35f-ed0435380333	1492087384109	DagScheduler(CompletionEvent(ResultTask(0, 19),Success,Some(78439),ArrayBuffer(LongAccumulator(id: 0, name: Some(internal.metrics.executorDeserializeTime), value: 2), LongAccumulator(id: 1, name: Some(internal.metrics.executorDeserializeCpuTime), value: 1812643), LongAccumulator(id: 2, name: Some(internal.metrics.executorRunTime), value: 9), LongAccumulator(id: 3, name: Some(internal.metrics.executorCpuTime), value: 7268860), LongAccumulator(id: 4, name: Some(internal.metrics.resultSize), value: 1041)),org.apache.spark.scheduler.TaskInfo@3c6f31c4))
a8146e20-00ae-4291-b35f-ed0435380333	1492087384630	MainEnd()
